Vehicle,Route,Fitness
Vehicle 1,0 -> 115 -> 212 -> 48 -> 20 -> 177 -> 28 -> 36 -> 15 -> 120 -> 76 -> 80 -> 15 -> 25 -> 179 -> 167 -> 3 -> 166 -> 156 -> 323 -> 12 -> 297 -> 314 -> 12 -> 253 -> 237 -> 19 -> 245 -> 172 -> 41 -> 20 -> 67 -> 202 -> 207 -> 17 -> 71 -> 127 -> 129 -> 2 -> 84 -> 114 -> 6 -> 0,
Vehicle 2,0 -> 43 -> 180 -> 15 -> 91 -> 174 -> 16 -> 278 -> 258 -> 244 -> 19 -> 241 -> 243 -> 247 -> 11 -> 294 -> 279 -> 310 -> 321 -> 3 -> 27 -> 181 -> 20 -> 64 -> 215 -> 108 -> 14 -> 57 -> 107 -> 8 -> 124 -> 128 -> 137 -> 2 -> 118 -> 95 -> 98 -> 8 -> 121 -> 90 -> 65 -> 13 -> 0,
Vehicle 3,0 -> 146 -> 319 -> 311 -> 12 -> 259 -> 233 -> 145 -> 3 -> 141 -> 139 -> 125 -> 2 -> 82 -> 109 -> 14 -> 92 -> 47 -> 1 -> 203 -> 186 -> 188 -> 4 -> 178 -> 33 -> 56 -> 1 -> 30 -> 37 -> 53 -> 15 -> 79 -> 100 -> 22 -> 119 -> 132 -> 2 -> 138 -> 89 -> 22 -> 83 -> 88 -> 22 -> 0,
Vehicle 4,0 -> 40 -> 69 -> 93 -> 22 -> 87 -> 50 -> 20 -> 183 -> 116 -> 2 -> 111 -> 135 -> 2 -> 219 -> 218 -> 220 -> 6 -> 222 -> 49 -> 13 -> 45 -> 169 -> 157 -> 3 -> 142 -> 143 -> 304 -> 12 -> 317 -> 153 -> 316 -> 315 -> 12 -> 309 -> 300 -> 21 -> 298 -> 295 -> 21 -> 290 -> 272 -> 7 -> 0,
Vehicle 5,0 -> 101 -> 74 -> 15 -> 110 -> 61 -> 14 -> 62 -> 213 -> 5 -> 204 -> 208 -> 17 -> 176 -> 133 -> 86 -> 22 -> 103 -> 66 -> 15 -> 171 -> 182 -> 162 -> 16 -> 149 -> 318 -> 151 -> 3 -> 155 -> 194 -> 164 -> 16 -> 175 -> 165 -> 322 -> 12 -> 260 -> 292 -> 21 -> 285 -> 307 -> 184 -> 4 -> 0,
Vehicle 6,0 -> 31 -> 23 -> 72 -> 15 -> 163 -> 159 -> 308 -> 12 -> 320 -> 268 -> 7 -> 274 -> 262 -> 11 -> 265 -> 240 -> 261 -> 11 -> 266 -> 267 -> 288 -> 21 -> 283 -> 280 -> 21 -> 313 -> 150 -> 3 -> 195 -> 211 -> 5 -> 73 -> 112 -> 2 -> 228 -> 223 -> 221 -> 6 -> 229 -> 206 -> 225 -> 17 -> 0,
Vehicle 7,0 -> 51 -> 42 -> 35 -> 15 -> 70 -> 102 -> 22 -> 136 -> 140 -> 60 -> 14 -> 187 -> 148 -> 196 -> 9 -> 147 -> 154 -> 3 -> 286 -> 275 -> 239 -> 248 -> 18 -> 270 -> 264 -> 7 -> 293 -> 255 -> 18 -> 242 -> 236 -> 19 -> 234 -> 249 -> 246 -> 11 -> 256 -> 284 -> 21 -> 282 -> 289 -> 21 -> 0,
Vehicle 8,0 -> 55 -> 54 -> 14 -> 198 -> 199 -> 227 -> 6 -> 94 -> 85 -> 8 -> 104 -> 97 -> 22 -> 105 -> 123 -> 2 -> 130 -> 96 -> 22 -> 26 -> 29 -> 15 -> 144 -> 303 -> 12 -> 287 -> 277 -> 21 -> 276 -> 273 -> 271 -> 18 -> 254 -> 235 -> 19 -> 232 -> 251 -> 18 -> 269 -> 263 -> 7 -> 301 -> 296 -> 21 -> 0,
Vehicle 9,0 -> 39 -> 32 -> 34 -> 15 -> 168 -> 302 -> 12 -> 312 -> 152 -> 160 -> 16 -> 170 -> 161 -> 16 -> 173 -> 44 -> 15 -> 75 -> 46 -> 15 -> 58 -> 201 -> 197 -> 4 -> 190 -> 209 -> 10 -> 210 -> 230 -> 231 -> 6 -> 113 -> 126 -> 24 -> 15 -> 68 -> 99 -> 122 -> 2 -> 134 -> 131 -> 2 -> 0,
Vehicle 10,0 -> 106 -> 224 -> 216 -> 10 -> 117 -> 78 -> 13 -> 52 -> 81 -> 1 -> 77 -> 63 -> 14 -> 59 -> 38 -> 281 -> 21 -> 250 -> 238 -> 19 -> 252 -> 257 -> 11 -> 291 -> 299 -> 305 -> 12 -> 306 -> 158 -> 3 -> 185 -> 193 -> 4 -> 189 -> 192 -> 4 -> 191 -> 200 -> 17 -> 205 -> 226 -> 17 -> 214 -> 217 -> 5 -> 0,

Best Fitness,84821.62783260403
