Generation,Best Fitness,Mean Fitness,Std Dev,Transport Cost,Total y_m
1,219474.82385035584,238825.98407966545,6510.208123164726,218224.82385035584,125
2,216741.46425558714,237530.9653887679,6438.515610968766,215501.46425558714,124
3,216741.46425558714,237018.01461289526,6718.3966000488235,215501.46425558714,124
4,216741.46425558714,237112.2178386618,6954.614522762455,215501.46425558714,124
5,216741.46425558714,236532.8376566438,6593.940710753482,215501.46425558714,124
6,216741.46425558714,237479.25572780782,7160.8033038458725,215501.46425558714,124
7,215726.65613621942,237487.2423989778,7192.830587870758,214486.65613621942,124
8,214952.8902371473,237603.1286916663,7021.107066852053,213692.8902371473,126
9,214544.2420542424,238059.29325252117,6771.535532595846,213284.2420542424,126
10,212912.2626637014,236949.5656417339,7206.354699866927,211662.2626637014,125
11,212761.90137315894,237447.72068050012,7334.315803503948,211511.90137315894,125
12,212761.90137315894,237011.87926216863,7065.544209431373,211511.90137315894,125
13,209212.99538835007,237319.79385126548,7443.413691797948,207952.99538835007,126
14,208525.26280753195,236898.0911828238,7520.464074145728,207265.26280753195,126
15,206400.27526852637,236856.33776666006,7386.517218006289,205140.27526852637,126
16,206400.27526852637,236243.91632464612,7590.123959666434,205140.27526852637,126
17,205637.2415573179,236747.7113167006,7819.65819339356,204377.2415573179,126
18,205637.2415573179,236932.16211566603,7432.556262225166,204377.2415573179,126
19,203268.49436687765,237380.9577972446,7454.453170175054,202008.49436687765,126
20,203268.49436687765,237192.0674193243,7003.657151372339,202008.49436687765,126
21,203268.49436687765,236568.12415501388,7123.475289361334,202008.49436687765,126
22,203268.49436687765,236832.14489266468,7033.878610489133,202008.49436687765,126
23,203268.49436687765,237511.5497737614,7466.5420874883275,202008.49436687765,126
24,203268.49436687765,237682.6722574687,6538.908933127214,202008.49436687765,126
25,203268.49436687765,237025.96256113236,7506.085957427751,202008.49436687765,126
26,203268.49436687765,237087.4041824407,7482.925967359252,202008.49436687765,126
27,203268.49436687765,237291.93521511066,7175.450333388042,202008.49436687765,126
28,203268.49436687765,236946.50220436978,7267.163158365522,202008.49436687765,126
29,203268.49436687765,237400.59661897953,7378.5749655367,202008.49436687765,126
30,203268.49436687765,237159.4091170826,7386.59634161718,202008.49436687765,126
31,203268.49436687765,237258.65790723282,7127.799809575865,202008.49436687765,126
32,201880.30870107893,237167.46834424988,7395.179531290617,200620.30870107893,126
33,201880.30870107893,236934.61438086588,7651.160036056637,200620.30870107893,126
34,201880.30870107893,236932.29773472447,7583.597507482368,200620.30870107893,126
35,201880.30870107893,236777.5887749557,7580.754701665951,200620.30870107893,126
36,201880.30870107893,237530.63218832843,6741.232765423813,200620.30870107893,126
37,201880.30870107893,237445.7464144056,7144.439910160612,200620.30870107893,126
38,201880.30870107893,237143.84920856584,7177.61736036331,200620.30870107893,126
39,201880.30870107893,237194.2906926528,6970.825686878309,200620.30870107893,126
40,201879.0917757727,237649.78257037103,7547.799134894849,200619.0917757727,126
41,201107.7420511106,237225.46080968404,8117.707557644628,199847.7420511106,126
42,201107.7420511106,237315.31839203328,7776.051250906937,199847.7420511106,126
43,200754.31563456816,237784.25064314817,7217.621231242594,199504.31563456816,125
44,200308.24644275545,237035.9963647882,7379.986126139403,199058.24644275545,125
45,200308.24644275545,237376.15778576853,7776.872664206995,199058.24644275545,125
46,200308.24644275545,237149.65414076252,7430.023210735682,199058.24644275545,125
47,200228.79241343366,237388.30202858377,7292.511131364178,198978.79241343366,125
48,200228.79241343366,237234.01915092982,7459.747959587395,198978.79241343366,125
