搬送開始時刻,搬送完了時刻,要支援者ID,避難所ID,車両ID,搬送回数
168.84,180.58,64,1,8,1
209.43,327.59,32,1,7,1
265.62,327.59,45,1,7,1
309.07,327.59,47,1,7,1
178.92,356.55,27,1,6,1
196.38,356.55,40,1,6,1
257.43,356.55,55,1,6,1
172.08,373.32,23,1,2,1
224.47,373.32,26,1,2,1
276.86,373.32,28,1,2,1
298.26,373.32,34,1,2,1
209.43,471.87,36,1,9,1
287.53,471.87,42,1,9,1
308.6,471.87,46,1,9,1
384.38,471.87,58,1,9,1
142.52,675.23,30,1,0,1
394.68,675.23,56,1,0,1
675.23,675.23,71,1,0,1
191.25,750.58,31,1,1,1
303.56,750.58,66,1,1,1
517.65,750.58,174,1,1,1
598.98,750.58,181,1,1,1
217.79,779.9,33,1,3,1
387.62,779.9,176,1,3,1
600.25,779.9,177,1,3,1
389.48,1054.69,129,2,4,1
521.59,1054.69,134,2,4,1
830.32,1054.69,139,2,4,1
303.5,1056.58,125,2,5,1
700.81,1056.58,141,2,5,1
1052.72,1076.18,127,2,9,2
1172.15,1292.14,123,2,0,2
1149.17,1449.71,138,2,7,2
1042.84,1517.0,118,2,2,2
1157.26,1517.0,131,2,2,2
1302.98,1517.0,136,2,2,2
699.17,1563.78,124,2,8,2
879.14,1563.78,126,2,8,2
1071.43,1563.78,128,2,8,2
1313.29,1563.78,140,2,8,2
995.9,1752.15,112,2,6,2
1091.24,1752.15,122,2,6,2
1134.23,1752.15,132,2,6,2
1264.17,1752.15,133,2,6,2
1545.24,1752.15,137,2,6,2
1317.68,1800.34,147,3,3,2
1428.79,1800.34,148,3,3,2
1673.26,1800.34,182,3,3,2
1347.96,1992.68,116,2,1,2
1484.06,1992.68,130,2,1,2
1714.68,1992.68,135,2,1,2
1862.7,2059.7,163,3,9,3
1956.55,2059.7,166,3,9,3
1922.1,2253.66,153,3,5,2
2079.33,2253.66,158,3,5,2
2164.78,2253.66,159,3,5,2
2170.35,2253.66,167,3,5,2
2111.64,2475.25,143,3,0,3
2222.3,2475.25,157,3,0,3
2357.32,2475.25,168,3,0,3
2342.1,2575.63,142,3,7,3
2472.45,2575.63,161,3,7,3
2486.01,2676.04,156,3,8,3
2608.33,2833.34,144,3,6,3
2690.67,2833.34,149,3,6,3
2729.67,2833.34,155,3,6,3
1863.77,2902.16,184,4,4,2
2333.93,2902.16,187,4,4,2
2741.15,2902.16,195,4,4,2
2471.67,3051.03,160,3,2,3
2590.13,3051.03,162,3,2,3
2685.55,3051.03,165,3,2,3
2849.71,3051.03,178,3,2,3
3008.83,3130.19,209,5,5,3
3045.99,3130.19,214,5,5,3
3221.23,3283.9,265,7,3,3
2818.01,3310.95,146,3,1,3
2991.16,3310.95,150,3,1,3
3160.33,3310.95,151,3,1,3
3450.16,3623.68,198,4,8,4
3454.46,3655.59,267,7,9,4
3545.7,3655.59,277,7,9,4
3628.64,3655.59,288,7,9,4
3581.95,3686.81,188,4,7,4
3782.91,4006.86,183,4,2,4
4153.3,4338.11,218,6,5,4
4253.86,4338.11,220,6,5,4
3653.95,4356.93,189,4,0,4
4131.11,4356.93,193,4,0,4
3952.21,4519.54,117,6,4,3
4348.29,4519.54,228,6,4,3
4632.27,4701.58,215,5,8,5
4705.7,4753.87,266,7,1,4
4512.02,4901.58,95,8,3,4
4669.76,4901.58,107,8,3,4
4760.17,4901.58,111,8,3,4
4802.94,4901.58,115,8,3,4
4896.42,5018.55,89,8,9,5
4953.45,5018.55,110,8,9,5
3904.39,5069.65,186,4,6,4
4235.34,5069.65,190,4,6,4
4634.8,5069.65,191,4,6,4
4931.77,5069.65,192,4,6,4
4979.1,5089.93,217,5,2,5
4624.4,5273.32,99,6,7,5
4708.05,5273.32,219,6,7,5
5062.92,5273.32,224,6,7,5
5424.66,5424.66,201,5,0,5
5608.75,5690.61,185,9,9,6
5551.98,5718.68,196,9,4,4
5890.76,5937.67,271,7,5,5
6004.33,6347.76,226,6,8,6
6329.51,6368.67,245,11,3,5
6125.6,6437.98,84,8,0,6
6215.62,6437.98,96,8,0,6
6296.22,6437.98,100,8,0,6
6325.28,6437.98,101,8,0,6
5946.44,6438.93,91,8,1,5
6065.27,6438.93,93,8,1,5
6184.1,6438.93,98,8,1,5
6184.1,6438.93,105,8,1,5
6286.11,6438.93,120,8,1,5
6587.57,6692.96,213,10,9,7
6705.04,6810.99,263,7,6,5
6764.07,6810.99,269,7,6,5
6820.78,6920.69,283,7,7,6
6857.53,6920.69,285,7,7,6
5963.64,7045.94,102,6,2,6
6126.58,7045.94,221,6,2,6
6318.27,7045.94,222,6,2,6
6757.68,7045.94,223,6,2,6
7047.25,7166.49,88,8,8,7
7128.21,7166.49,104,8,8,7
7115.21,7193.42,152,9,1,6
7153.31,7225.32,85,8,5,6
7248.64,7316.76,256,11,4,5
7077.79,7320.68,145,9,0,7
7096.93,7320.68,154,9,0,7
7207.7,7320.68,197,9,0,7
7934.5,8083.83,194,9,5,7
8064.86,8141.51,230,10,1,7
8078.26,8197.07,227,10,0,8
8136.77,8197.07,229,10,0,8
8145.28,8249.65,113,8,6,6
8165.43,8277.59,216,10,2,7
8256.19,8358.93,114,8,7,7
8326.73,8460.83,247,11,9,8
8398.42,8460.83,250,11,9,8
8287.87,8533.93,309,12,3,6
8385.55,8533.93,314,12,3,6
8636.46,8717.66,246,11,8,8
8891.68,8984.54,212,10,5,8
9104.88,9113.64,231,10,7,8
9447.25,9527.95,65,13,3,7
9465.55,9527.95,108,13,3,7
9466.85,9671.08,297,12,4,6
9719.61,9800.81,244,11,6,7
9762.46,9800.81,249,11,6,7
9799.55,9832.25,252,11,1,8
9815.29,9877.39,54,14,3,8
9883.21,9944.0,254,11,0,9
10216.26,10344.0,39,15,3,9
9721.15,10387.79,299,12,2,8
10118.29,10387.79,321,12,2,8
10158.16,10387.79,322,12,2,8
10602.58,10626.01,60,13,4,7
10693.04,10755.93,171,16,3,10
10424.65,10919.76,306,12,9,9
10665.27,10919.76,318,12,9,9
10934.18,10973.35,59,14,4,8
10682.3,10976.88,303,12,8,9
10776.17,10976.88,312,12,8,9
10428.09,11019.67,298,12,5,9
10753.89,11019.67,304,12,5,9
10858.03,11019.67,316,12,5,9
10828.27,11119.97,248,11,7,9
10828.27,11119.97,253,11,7,9
11019.02,11119.97,268,11,7,9
11248.63,11312.77,38,15,4,9
11336.62,11392.69,79,13,2,9
11818.81,11911.25,68,13,9,10
11844.7,11911.25,78,13,9,10
11846.67,11911.25,81,13,9,10
11633.01,11948.53,164,16,4,10
11790.65,11948.53,179,16,4,10
11739.54,12016.68,308,12,1,9
11862.87,12016.68,315,12,1,9
11921.57,12051.04,63,13,8,10
11928.1,12051.04,70,13,8,10
11988.79,12051.04,77,13,8,10
11757.4,12054.76,311,12,6,8
11947.36,12054.76,317,12,6,8
12119.46,12272.26,199,17,2,10
12155.29,12291.84,74,14,9,11
12190.33,12291.84,76,14,9,11
12227.19,12291.84,83,14,9,11
12361.49,12408.53,61,14,8,11
12517.28,12552.72,41,15,9,12
12090.13,12576.27,169,16,5,10
12219.48,12576.27,172,16,5,10
12415.91,12576.27,180,16,5,10
12639.77,12687.29,67,15,8,12
11694.37,12796.12,211,17,3,11
12198.83,12796.12,225,17,3,11
12904.46,12944.48,69,13,1,10
13051.22,13087.3,173,16,8,13
12076.7,13184.83,300,12,0,10
12365.33,13184.83,302,12,0,10
12554.0,13184.83,310,12,0,10
12845.38,13184.83,320,12,0,10
12907.15,13184.83,323,12,0,10
13187.8,13265.32,86,14,1,11
13063.86,13479.79,307,12,7,10
13161.36,13479.79,313,12,7,10
13250.17,13479.79,319,12,7,10
13147.07,13495.61,29,15,6,9
13286.75,13495.61,53,15,6,9
13326.54,13495.61,72,15,6,9
13486.9,13524.77,48,15,1,12
13690.45,13722.87,255,18,9,13
13005.62,13851.07,202,17,4,11
13224.81,13851.07,205,17,4,11
13664.81,13851.07,210,17,4,11
13950.31,14053.97,261,18,2,11
14010.73,14053.97,272,18,2,11
14405.02,14422.18,73,13,7,11
14511.86,14575.32,262,18,3,12
13913.26,14592.6,203,17,5,11
14206.61,14592.6,204,17,5,11
14319.62,14615.19,206,17,1,13
14636.22,14720.61,273,18,6,10
14103.87,14898.45,200,17,8,14
14516.19,14898.45,208,17,8,14
14732.63,14980.34,57,14,7,12
14813.09,14980.34,82,14,7,12
14883.11,14980.34,92,14,7,12
15064.81,15147.99,274,18,0,11
15366.54,15479.02,35,20,2,12
15456.89,15479.02,50,20,2,12
15396.92,15497.82,170,16,7,13
15520.39,15535.29,51,20,8,15
15529.12,15553.85,258,18,4,12
16167.64,16281.47,232,19,9,14
16202.74,16281.47,239,19,9,14
16238.44,16281.47,240,19,9,14
16245.69,16281.47,243,19,9,14
16248.29,16322.67,257,18,1,14
16262.02,16575.29,259,18,5,12
16306.04,16575.29,260,18,5,12
16370.43,16575.29,264,18,5,12
16471.57,16575.29,270,18,5,12
16604.37,16676.86,280,21,8,16
16574.69,16685.32,292,21,2,13
16939.69,17003.05,242,19,3,13
16720.01,17082.25,207,17,7,14
17102.62,17311.91,237,19,6,11
17221.35,17311.91,238,19,6,11
17528.65,17623.48,233,19,0,12
17569.87,17623.48,234,19,0,12
