Vehicle,Shelter,Client,Order_in_Vehicle
0,1,45,1
0,1,46,2
0,1,71,3
0,2,139,1
0,2,140,2
0,3,159,1
0,3,167,2
0,5,201,1
0,7,288,1
0,8,100,1
0,8,104,2
0,8,111,3
0,8,120,4
0,9,145,1
0,9,185,2
0,9,194,3
0,12,303,1
0,12,309,2
0,12,316,3
0,12,320,4
0,13,63,1
0,14,57,1
0,14,59,2
0,14,86,3
0,17,199,1
0,18,258,1
0,18,262,2
0,18,264,3
0,19,241,1
0,21,278,1
0,21,292,2
0,21,295,3
0,22,75,1
1,1,23,1
1,2,112,1
1,2,132,2
1,2,134,3
1,2,135,4
1,3,143,1
1,3,168,2
1,5,217,1
1,6,99,1
1,7,266,1
1,7,283,2
1,8,101,1
1,10,213,1
1,10,216,2
1,10,231,3
1,12,314,1
1,12,321,2
1,13,65,1
1,13,70,2
1,13,79,3
1,14,74,1
1,17,204,1
1,17,206,2
1,18,259,1
1,19,233,1
1,19,234,2
1,20,35,1
1,21,282,1
1,21,286,2
1,22,103,1
2,1,27,1
2,1,58,2
2,1,176,3
2,3,142,1
2,3,160,2
2,3,162,3
2,3,165,4
2,3,182,5
2,4,184,1
2,4,192,2
2,6,102,1
2,6,218,2
2,7,285,1
2,8,91,1
2,10,229,1
2,11,245,1
2,11,250,2
2,12,312,1
2,12,322,2
2,13,69,1
2,13,77,2
2,13,78,3
2,13,108,4
2,14,54,1
2,15,39,1
2,16,180,1
2,17,211,1
2,19,240,1
2,20,51,1
2,21,275,1
2,21,276,2
2,21,280,3
2,21,301,4
2,21,305,5
3,1,26,1
3,1,33,2
3,1,64,3
3,1,181,4
3,2,116,1
3,2,129,2
3,2,136,3
3,3,144,1
3,3,157,2
3,5,214,1
3,6,226,1
3,7,265,1
3,7,269,2
3,8,84,1
3,8,89,2
3,9,152,1
3,11,249,1
3,11,254,2
3,12,306,1
3,12,307,2
3,14,61,1
3,14,82,2
3,15,67,1
3,16,164,1
3,17,205,1
3,17,208,2
3,18,261,1
3,20,50,1
3,21,281,1
3,21,284,2
3,22,109,1
3,22,119,2
4,1,30,1
4,1,32,2
4,1,36,3
4,1,47,4
4,1,56,5
4,2,130,1
4,3,150,1
4,3,151,2
4,3,163,3
4,4,191,1
4,5,209,1
4,10,212,1
4,11,244,1
4,11,246,2
4,12,313,1
4,12,323,2
4,13,60,1
4,14,76,1
4,17,202,1
4,17,207,2
4,18,273,1
4,19,236,1
4,19,238,2
4,20,24,1
4,20,52,2
4,21,296,1
4,22,90,1
4,22,94,2
5,1,31,1
5,1,40,2
5,2,118,1
5,2,131,2
5,3,147,1
5,3,149,2
5,3,155,3
5,3,158,4
5,3,161,5
5,4,187,1
5,4,188,2
5,4,193,3
5,6,221,1
5,6,224,2
5,8,95,1
5,8,107,2
5,8,113,3
5,8,114,4
5,11,248,1
5,11,252,2
5,11,253,3
5,12,299,1
5,12,302,2
5,12,310,3
5,12,318,4
5,13,68,1
5,16,170,1
5,16,173,2
5,19,239,1
5,20,25,1
6,1,34,1
6,2,123,1
6,2,127,2
6,2,128,3
6,2,133,4
6,3,148,1
6,4,190,1
6,4,195,2
6,5,215,1
6,7,267,1
6,7,271,2
6,9,154,1
6,9,196,2
6,12,317,1
6,15,41,1
6,15,48,2
6,17,203,1
6,17,225,2
6,18,260,1
6,18,274,2
6,20,43,1
6,22,97,1
7,1,55,1
7,3,153,1
7,3,156,2
7,4,183,1
7,6,117,1
7,6,219,2
7,6,222,3
7,6,223,4
7,7,263,1
7,8,96,1
7,8,115,2
7,12,297,1
7,12,298,2
7,12,311,3
7,12,315,4
7,14,92,1
7,16,169,1
7,16,171,2
7,16,179,3
7,17,210,1
7,18,270,1
7,19,237,1
7,21,290,1
7,21,291,2
7,22,106,1
8,1,66,1
8,1,174,2
8,1,177,3
8,2,124,1
8,2,126,2
8,2,137,3
8,2,138,4
8,3,178,1
8,4,189,1
8,6,228,1
8,8,85,1
8,8,88,2
8,8,93,3
8,8,98,4
8,8,105,5
8,10,230,1
8,12,304,1
8,12,308,2
8,12,319,3
8,16,172,1
8,17,200,1
8,18,257,1
8,19,235,1
8,19,243,2
8,19,251,3
8,20,175,1
8,21,279,1
8,21,287,2
8,22,87,1
9,1,28,1
9,1,42,2
9,2,122,1
9,2,125,2
9,3,146,1
9,3,166,2
9,4,186,1
9,4,198,2
9,6,220,1
9,7,277,1
9,8,110,1
9,9,197,1
9,10,227,1
9,11,247,1
9,11,256,2
9,12,300,1
9,13,73,1
9,13,81,2
9,14,83,1
9,15,38,1
9,18,255,1
9,18,272,2
9,19,232,1
9,19,242,2
9,20,37,1
9,20,44,2
9,20,49,3
9,21,289,1
9,21,293,2
9,21,294,3
9,22,62,1
9,22,80,2
9,22,121,3
